Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Bi2.00S3.00,523,-627,72.4,0.505,2.85E-05,0.029477046,https://doi.org/10.1007/s11467-018-0845-4
Bi2.00Te1.95Se1.05,523,-189.44,35850,0.907,0.00129,0.76,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.01Se0.99,523,-176,39210,0.96,0.001214569,0.67,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.10Se0.90,523,-179.5,43500,1.055,0.001401581,0.7,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.55Se0.45,523,-157.6,56812,1.168,0.001411083,0.6282,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.70Se0.30,523,-151.8,66050,1.315,0.001522006,0.61,https://doi.org/10.1007/s11664-020-08258-9
Ag0.40Sb1.10Pb19.60Te18.80,523,-68.8,17450,1.378,8.26E-05,0.031349078,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.50Sb1.10Pb19.60Te18.80,523,-49.6,26110,1.474,6.42E-05,0.02279158,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.80Sb0.80Pb18.30Te20.00,523,-294,8800,0.76,0.000760637,0.523438219,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.90Sb0.90Pb18.30Te19.90,523,-296,8625,0.858,0.000755688,0.460634993,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.10Sb0.80Pb15.50Te22.60,523,320,2685,0.968,0.000274944,0.148549289,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.20Sb0.80Pb14.90Te22.70,523,280,1583,1.01,0.000124107,0.064265411,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.30Sb0.90Pb15.70Te22.00,523,-171.2,913,1.01,2.68E-05,0.013856662,https://doi.org/10.1016/j.jallcom.2004.08.049
Sn0.98In0.02Se1.00,523,492,70,0.631,1.69E-05,0.014044315,https://doi.org/10.1016/j.jallcom.2016.01.190
Sn1.00Se1.00,523,371,336,0.6,4.62E-05,0.040312296,https://doi.org/10.1016/j.jallcom.2016.01.190
Sn0.87Mn0.10Bi0.03Te1.00,523,94,179200,3.656,0.001583411,0.226510957,https://doi.org/10.1016/j.jmst.2020.12.063
Sn0.91Mn0.08Bi0.01Te1.00,523,88,216000,3.7849,0.001672704,0.231135352,https://doi.org/10.1016/j.jmst.2020.12.063
Sn1.00Te1.00,523,48,330000,8.3,0.00076032,0.04790932,https://doi.org/10.1016/j.jmst.2020.12.063
Cu3.00Sb1.00In0.00Se4.00,523,285,8010,1.274,0.000650612,0.267088074,https://doi.org/10.1016/j.matdes.2016.03.001
Cu3.00Sb1.00In0.00Se4.00,523,317.48,5952,1.25,0.000599923,0.251007872,https://doi.org/10.1016/j.matdes.2016.03.001
Cu3.00Sb1.00Se4.00,523,340,4000,1.389,0.0004624,0.174107415,https://doi.org/10.1016/j.matdes.2016.03.001
Sn0.97Ce0.03Te1.00,523,107,149480,2.83,0.001711397,0.3,https://doi.org/10.1016/j.mtphys.2019.100156
Sn0.98Ce0.02Te1.00,523,66,213924,3.33,0.000931853,0.146354081,https://doi.org/10.1016/j.mtphys.2019.100156
Sn0.99Ce0.01Te1.00,523,53,278500,4.34,0.000782307,0.094273341,https://doi.org/10.1016/j.mtphys.2019.100156
Co1.00Sb3.00,523,25.6,4400,4.79,2.88E-06,0.000314846,https://doi.org/10.1016/S0925-8388(00)01275-5
Ca3.20Yb1.65Pr0.15Al2.00Sb6.00,523,48.8,3750,1.455,8.93E-06,0.003210034,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.30Yb1.50Sm0.20Al2.00Sb6.00,523,76.7,8370,1.19,4.92E-05,0.021640681,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.30Yb1.50Sm0.20Al2.00Sb6.00,523,-111,729,0.853,8.98E-06,0.00550714,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.46Yb1.35Pr0.19Al2.00Sb6.00,523,-150,1104,1.325,2.48E-05,0.00980477,https://doi.org/10.1021/acs.chemmater.1c01318
Ge12.00Sb2.00Te15.00,523,233.3,30300,1.49,0.001649195,0.578878642,https://doi.org/10.1021/acs.chemmater.8b03609
Ge4.00Sb2.00Te7.00,523,83.4,117780,1.888,0.000819226,0.226935976,https://doi.org/10.1021/acs.chemmater.8b03609
Li2.00Ge11.00Sb2.00Te15.00,523,157.4,128400,1.875,0.003181079,0.88730902,https://doi.org/10.1021/acs.chemmater.8b03609
Li2.00Ge3.00Sb2.00Te7.00,523,246.6,26650,0.782,0.001620628,1.07,https://doi.org/10.1021/acs.chemmater.8b03609
Li1.00Ge11.50Sb2.00Te15.00,523,243,46630,1.375,0.002753455,1.06,https://doi.org/10.1021/acs.chemmater.8b03609
Li1.00Ge3.50Sb2.00Te7.00,523,241,34400,0.947,0.001997986,1.04,https://doi.org/10.1021/acs.chemmater.8b03609
Pb6.00Bi2.00Se9.00,523,-157,15615,1.1217,0.000384894,0.179459421,https://doi.org/10.1021/acs.inorgchem.6b02118
As2.00Te1.50Se1.50,523,527,50.74,0.3353,1.41E-05,0.0146,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.30Se0.70,523,206.12,585.95,0.4789,2.49E-05,0.027186774,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.60Se0.40,523,265.5,2420.5,0.5,0.000170622,0.178470246,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.80Se0.20,523,217.17,2275.8,0.532,0.000107333,0.105517335,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.90Se0.10,523,143.56,2230,0.6014,4.60E-05,0.02889,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.00Se1.00,523,171.29,153.99,0.4138,4.52E-06,0.005710416,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te3.00,523,5.94,1637.89,0.684,5.78E-08,4.42E-05,https://doi.org/10.1021/acs.inorgchem.6b02930
Ba0.95K0.05Zn2.00As2.00,523,52.47,114286,2.9574,0.000314641,0.055642519,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.96K0.04Zn2.00As2.00,523,72.22,72727,2.0714,0.000379324,0.095774161,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.97K0.03Zn2.00As2.00,523,71.6,94118,2.5789,0.000482502,0.097851147,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.98K0.02Zn2.00As2.00,523,113.58,80000,2.078,0.001032033,0.259746594,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.99K0.01Zn2.00As2.00,523,158.64,29358,1.6809,0.000738842,0.229885554,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.90K0.10Zn2.00As2.00,523,51.85,128000,3.1801,0.000344118,0.056593741,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba1.00Zn2.00As2.00,523,250,4557,1.2553,0.000276,0.118662421,https://doi.org/10.1021/acs.inorgchem.7b00232
Li1.01Co0.85Ni0.15O2.00,523,291,1.799,1.2915,1.52E-07,6.17E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.04Co0.85Ni0.15O2.00,523,282,2.6886,1.9109,2.14E-07,5.85E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.10Co0.85Ni0.15O2.00,523,228.5,9.4,2.7206,4.91E-07,9.43E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.85Ni0.15O2.00,523,308.97,1.2944,2.045,1.24E-07,3.16E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.92Ni0.08O2.00,523,554.79,0.09611,1.5682,2.96E-08,9.87E-06,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.96Ni0.04O2.00,523,884.14,0.06462,1.9773,5.05E-08,1.34E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.98Ni0.02O2.00,523,995.86,0.104,2.4091,1.03E-07,2.24E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co1.00O2.00,523,962.76,0.4013,5.8977,3.72E-07,3.30E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Cu2.20Sn0.80Sb0.20Se3.20,523,75,146800,2.8,0.00082575,0.154238304,https://doi.org/10.1021/acsaem.1c01155
Cu2.50Sn0.50Sb0.50Se3.50,523,46.86,335460,4.4803,0.000736623,0.085988407,https://doi.org/10.1021/acsaem.1c01155
Cu2.80Sn0.20Sb0.80Se3.80,523,58.86,267516,4.25,0.000926809,0.114052034,https://doi.org/10.1021/acsaem.1c01155
Cu2.00Sn1.00Se3.00,523,204,2649,1.5033,0.000110241,0.03835291,https://doi.org/10.1021/acsaem.1c01155
Cu3.00Sb1.00Se4.00,523,295.4,3040,1.58,0.000265274,0.087,https://doi.org/10.1021/acsaem.1c01155
Sn1.03Se0.08Te0.92,523,49.17,258772,4.3836,0.00062563,0.074642894,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.86Br0.01,523,56,243860,3.1,0.000764745,0.142,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.88Br0.01,523,62.93,256140,3.34,0.000853,0.148,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.87Br0.01,523,56.17,324561,3.201,0.000798,0.143,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.88,523,49.62,247500,3.654,0.000609381,0.087221162,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.15Te0.85,523,48.72,242609,3.5283,0.000575866,0.085360638,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Te1.00,523,48.72,286957,6.283,0.000681132,0.056697774,https://doi.org/10.1021/acsaem.1c02442
Sn1.00Te13.00Sb2.00,523,135.54,117848,1.9,0.002164996,0.595943747,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te15.00Sb2.00,523,113.28,140000,2.33,0.00179653,0.403255486,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te18.00Sb2.00,523,100.34,170625,2.88,0.001717872,0.311960824,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te23.00Sb2.00,523,87.41,186370,3.42,0.001423961,0.217757854,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te28.00Sb2.00,523,83.79,213500,3.46,0.001498933,0.226572841,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te43.00Sb2.00,523,66.47,235414,4.386,0.00104012,0.124027133,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te11.00Sb2.00,523,148.46,93924,1.71,0.00207012,0.633141923,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te1.00,523,39.828,320000,5.891,0.000507606,0.045065028,https://doi.org/10.1021/acsaem.1c03231
Bi0.42Sb1.58Te3.00,523,189.21,26064,1.32,0.000933102,0.369706423,https://doi.org/10.1021/acsami.1c13372
Ge1.00Te0.70Ag1.00Sn1.00Se20.30,523,44.1,61935,1.3846,0.000120452,0.04549783,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te0.80Ag1.00Sn1.00Se20.20,523,44.7,216700,2.6,0.000432986,0.08709682,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te0.90Ag1.00Sn1.00Se20.10,523,53.4,291613,3.515,0.000831552,0.123727362,https://doi.org/10.1021/acsami.1c14801
Ge0.55Sb0.25Te0.80Ag1.00Sn1.00Se20.20,523,215.53,27750,0.72,0.001289076,0.966,https://doi.org/10.1021/acsami.1c14801
Ge0.58Sb0.22Te0.80Ag1.00Sn1.00Se20.20,523,206.21,34800,0.69,0.001479785,1.134,https://doi.org/10.1021/acsami.1c14801
Ge0.60Sb0.20Te0.80Ag1.00Sn1.00Se20.20,523,187,42600,0.805,0.0015283,1.011,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te1.00,523,80,371613,4.106,0.002378323,0.302937904,https://doi.org/10.1021/acsami.1c14801
Cu0.00Pb1.00Te1.03Mn1.00,523,-217.02,51103,1.5147,0.002406833,0.831038182,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,523,-168.95,84247,1.6453,0.002404755,0.76441188,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,523,-173.16,83699,1.584,0.002509663,0.828632447,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,523,-173.33,78759,1.5627,0.002366179,0.791906202,https://doi.org/10.1021/acsami.1c17254
Cu0.01Pb0.99Te1.03Mn1.00,523,-172.63,88082,1.598,0.002624942,0.859101787,https://doi.org/10.1021/acsami.1c17254
Pb1.00Te1.03Mn1.00,523,-246.14,31862,1.3227,0.001930356,0.763269241,https://doi.org/10.1021/acsami.1c17254
Ag8.00Sn0.60Ga0.40Se6.00,523,-417.76,792,0.262492345,0.000138223,0.2754,https://doi.org/10.1021/acsami.1c17548
Ag8.00Sn1.00Se6.00,523,-342.7,1254,0.3121,0.000147274,0.246793471,https://doi.org/10.1021/acsami.1c17548
Tl4.00Pb1.00Te3.00,523,130,19900,0.634,0.000327,0.269,https://doi.org/10.1063/1.2181427
Tl4.00Sn1.00Te3.00,523,175,16400,0.47,0.000492,0.546,https://doi.org/10.1063/1.2181427
Mo3.00Sb7.00I1.00,523,36.29,494500,5.77,0.000651239,0.059029093,https://doi.org/10.1063/1.5144156
Mo3.00Sb7.00I0.75,523,31.56,511222,5.908,0.000509194,0.045075933,https://doi.org/10.1063/1.5144156
Mo3.00Sb7.00I1.25,523,35.83,483500,5.602,0.000620712,0.058,https://doi.org/10.1063/1.5144156
Mo3.00Sb7.00I1.50,523,21.1,422000,5.13,0.000187879,0.019154097,https://doi.org/10.1063/1.5144156
Cu7.00P1.00Se6.00,523,204.76,4078.7,0.3,0.000171006,0.29812091,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.25Se0.76,523,221.4,4670,0.312,0.000228914,0.383724217,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.50Se0.56,523,250.4,2840,0.289,0.000178068,0.322248449,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.55Se0.46,523,284,1580,0.228,0.000127436,0.292321399,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.60Se0.46,523,275.5,1990,0.225,0.000151041,0.35108757,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.65Se0.36,523,279.8,1665,0.2304,0.00013035,0.295889036,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.75Se0.26,523,298.22,1306,0.2157,0.000116149,0.281623086,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S6.00,523,223.21,142,0.1559,7.07E-06,0.023734015,https://doi.org/10.1021/acsami.1c11193
Cu11.70Gd0.30Sb4.00S13.00,523,106.01,108671,1.4336,0.001221258,0.445534182,https://doi.org/10.1021/acsami.1c03493
Sn1.00Te1.00,523,50.22,421348,6.7,0.00106266,0.082950926,https://doi.org/10.1021/acsami.0c09781
Sn0.98In0.01Te1.00,523,75.99,316854,5.0556,0.001829667,0.189278405,https://doi.org/10.1021/acsami.0c09781
Sn0.98In0.01Te0.95Ag1.00Cl0.05,523,76.64,371910,4.6966,0.002184484,0.243257906,https://doi.org/10.1021/acsami.0c09781
Sn0.98In0.01Te0.90Ag1.00Cl0.10,523,83.48,289888,3.3222,0.002020203,0.318032156,https://doi.org/10.1021/acsami.0c09781
Sn0.98In0.01Te0.85Ag1.00Cl0.15,523,84.2,249438,3.367,0.001768426,0.274691595,https://doi.org/10.1021/acsami.0c09781
Cu2.00Sn1.00Se3.00,523,120.23,11905,1.6125,0.00017209,0.055815788,https://doi.org/10.1021/acsami.0c04298
Cu2.00Sn0.95Fe0.05Se3.00,523,87.86,86824,2.314,0.000670227,0.151481823,https://doi.org/10.1021/acsami.0c04298
Cu5.00Sn2.00S7.00,524,54.83,200000,3.6375,0.000601266,0.086615332,https://doi.org/10.1021/acs.chemmater.1c03434
Ba1.00Bi1.00Te3.00,524,-178.93,9067,0.42756,0.000290289,0.355765768,https://doi.org/10.1021/acs.chemmater.7b04123
Sn0.91Mn0.09Te1.00,524,94.53,175148,3.2895,0.001565109,0.249313557,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.97I0.03,524,106.19,137949,2.75,0.001555557,0.296404226,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.98I0.02,524,107.2,130256,2.5682,0.001496881,0.305414571,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.99I0.01,524,106.7,154872,3.0458,0.001763201,0.303341375,https://doi.org/10.1021/acsami.1c15595
Sn0.95Mn0.05Te1.00,524,69.92,289941,4.75,0.001417465,0.156368816,https://doi.org/10.1021/acsami.1c15595
Sn0.99Mn0.01Te1.00,524,48.44,383432,6.3421,0.000899698,0.074335253,https://doi.org/10.1021/acsami.1c15595
Sn1.00Te21.00Cu1.00Sb1.00,524,84.3,161100,2.81,0.001144856,0.213489076,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,524,52.47,278383,5.1975,0.000766416,0.077268348,https://doi.org/10.1021/acsami.1c15614
Ag2.00Se1.00,524,-100,118621,3.1,0.00118621,0.19,https://doi.org/10.1021/acsami.1c08410
Ge1.00Se1.00,524,841.25,15.248,1.4612,1.08E-05,0.003869766,https://doi.org/10.1021/acsami.0c10850
Yb14.00Mn1.00Sb11.00,525,84,35500,1.06,0.000250488,0.124062453,10.1007/s11664-010-1149-9
Ca5.00Al1.90Zn0.10Sb6.00,525,133.6,21640,1.175,0.000386251,0.174,10.1039/c3ta00844d
Ca5.00Ga1.70Zn0.30Sb6.00,525,79.8,56855,1.5503,0.000362055,0.122607773,10.1039/c3ta00844d
Ca5.00Ga1.80Zn0.20Sb6.00,525,85.7,45100,1.51,0.000331236,0.115165008,10.1039/c3ta00844d
Ca5.00Ga1.95Zn0.05Sb6.00,525,160.4,17200,1.064,0.000442524,0.214,10.1039/c3ta00844d
Ca5.00Ga1.90Zn0.10Sb6.00,525,133,28513,1.258,0.000504366,0.213,10.1039/c3ta00844d
Ca5.00Ga2.00Sb6.00,525,274.57,863,1.005,6.51E-05,0.0362,10.1039/c3ta00844d
Cu1.00Ga0.97Mn0.03Te2.00,525,224,21053,3.184,0.001056355,0.174179192,10.1039/c6ta11120c
Cu1.00Ga0.98Mn0.02Te2.00,525,300,9123,3.3546,0.00082107,0.128498703,10.1039/c6ta11120c
Cu1.00Ga0.99Mn0.01Te2.00,525,365,5700,2.589,0.000759383,0.15398834,10.1039/c6ta11120c
Ba1.00Bi1.00Te2.95Se0.05,525,-191.8,8000,0.4085,0.000294298,0.365,https://doi.org/10.1021/acs.chemmater.7b04123
Ba1.00Bi1.00Te2.90Se0.10,525,-199.2,4050,0.391,0.000160707,0.215782508,https://doi.org/10.1021/acs.chemmater.7b04123
Ag1.00Bi0.85Sb0.15Se2.00,525,526.6,238.8,0.418,6.62E-05,0.083172366,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi0.95Sb0.05Se2.00,525,341.15,241,0.4582,2.80E-05,0.032137494,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi0.90Sb0.10Se2.00,525,429.69,362.6,0.4185,6.69E-05,0.071,https://doi.org/10.1021/acs.inorgchem.9b00874
Ag1.00Bi1.00Se2.00,525,484.3,447,0.537,0.000104842,0.102499437,https://doi.org/10.1021/acs.inorgchem.9b00874
Sn1.00Te21.00Cu1.00Sb1.00,525,83.52,169964,2.7702,0.001185599,0.224691215,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,525,79.67,186056,3.105,0.001180955,0.199678366,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,525,64.5,222000,3.814,0.000923576,0.12713087,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,525,59.34,246077,4.3851,0.000866495,0.10373992,https://doi.org/10.1021/acsami.1c15614
Cu12.00Sb4.00S13.00,525,100.1,91383,1.5384,0.000915659,0.312480988,https://doi.org/10.1021/acsami.1c03493
Cu11.90Gd0.10Sb4.00S13.00,525,103.21,97870,1.503,0.001042541,0.364161029,https://doi.org/10.1021/acsami.1c03493
Cu11.80Gd0.20Sb4.00S13.00,525,103.52,102008,1.4464,0.001093158,0.396783542,https://doi.org/10.1021/acsami.1c03493
Cu11.60Gd0.40Sb4.00S13.00,525,106.94,95734,1.3696,0.00109483,0.419674055,https://doi.org/10.1021/acsami.1c03493
Cu11.50Gd0.50Sb4.00S13.00,525,111.14,86937,1.4176,0.001073854,0.397695826,https://doi.org/10.1021/acsami.1c03493
Ge1.00Te1.00,525,67.33,310811,4.2813,0.001409008,0.172781505,https://doi.org/10.1021/acsami.1c11599
Ge0.89In0.05Pb0.06Te1.00,525,185.71,54245,1.2267,0.001870813,0.800665714,https://doi.org/10.1021/acsami.1c11599
Ge0.87In0.05Pb0.08Te1.00,525,217.14,50000,1.18,0.002357489,1.048882809,https://doi.org/10.1021/acsami.1c11599
Ge0.85In0.05Pb0.10Te1.00,525,239,34441,1.0267,0.001967304,1.00597525,https://doi.org/10.1021/acsami.1c11599
Ge0.83In0.05Pb0.12Te1.00,525,239,25109,1.02,0.001434251,0.738217524,https://doi.org/10.1021/acsami.1c11599
Ge9.00Sb2.00Te12.00,525,97.5,136364,2.7576,0.00129631,0.246795363,https://doi.org/10.1021/acsami.0c02155
Rb2.00Bi8.00Se12.91,526,-184,7600,0.6548,0.000257306,0.206693258,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.94,526,-220,5950,0.594,0.00028798,0.255012593,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.96,526,-241,6060,0.535,0.000351971,0.346049855,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.97Cl0.03,526,-118.3,14490,0.732,0.000202786,0.145717777,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.98,526,-292.4,3598,0.55,0.000307621,0.294197481,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.98Cl0.02,526,-147.42,9412,0.6477,0.000204548,0.166114131,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99Cl0.01,526,-201.26,6176,0.537,0.000250163,0.245038137,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99,526,-291,4015,0.532,0.000339994,0.336159694,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99Cl0.01,526,-269.69,3676,0.477,0.000267365,0.294830599,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se13.00,526,-306,948,0.4386,8.88E-05,0.10645555,https://doi.org/10.1021/acs.chemmater.0c00703
Ca0.05Ba1.00Gd1.95Ni1.00O5.00,526,259.56,30.01273823,1.8585,2.02E-06,0.000572274,https://doi.org/10.1021/acs.inorgchem.7b00049
Ag1.00Bi0.85Nb0.15Sb0.30Se2.00,526,-231,4467,0.65098259,0.000238364,0.1926,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.85Nb0.15Sb0.10Se2.00,526,-175,12523,0.635770174,0.000383517,0.3173,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.85Pb0.15Sb0.10Se2.00,526,400,464,0.427432574,7.42E-05,0.09136,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.80Nb0.20Sb0.30Se2.00,526,-222,4898,0.598081653,0.000241393,0.2123,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.80Nb0.20Sb0.10Se2.00,526,-170,14107,0.529496666,0.000407692,0.405,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.80Pb0.20Sb0.30Se2.00,526,281.1,1728,3.264588848,0.000136542,0.022,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.80Pb0.20Sb0.10Se2.00,526,183.33,709,0.507460336,2.38E-05,0.0247,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.90Nb0.10Sb0.30Se2.00,526,-274,2754,0.561173343,0.000206759,0.1938,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.90Nb0.10Sb0.10Se2.00,526,-181,11567,0.628193672,0.000378946,0.3173,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.90Pb0.10Sb0.30Se2.00,526,408.1,915,0.618493338,0.000152389,0.1296,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.90Pb0.10Sb0.10Se2.00,526,483.33,316.23,0.443074467,7.39E-05,0.0877,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag1.00Bi0.90Sb0.10Se2.00,526,-211.11,7943,0.491302199,0.000353999,0.379,https://doi.org/10.1021/acs.inorgchem.9b01038
Ti1.00Ni1.00Sn1.00,526,-145.12,71938,4.0543,0.001515001,0.2173,https://doi.org/10.1021/acsami.1c14723
Ti1.00Zr0.03Ni1.00Sn1.00,526,-191.2,54620,2.6776,0.001996767,0.4086,https://doi.org/10.1021/acsami.1c14723
Sn1.00Te21.00Cu1.00Sb1.00,526,74,195470,3.0435,0.001070394,0.184993296,https://doi.org/10.1021/acsami.1c15614
Cu3.00Sn1.00S40.85Ga2.00Te30.15,527,123.23,41941,1.434,0.000636901,0.234063202,https://doi.org/10.1021/acs.inorgchem.1c01028
Cu3.00Sn1.00S40.88Ga2.00Te30.12,527,116.67,68624,1.9286,0.000934102,0.255248311,https://doi.org/10.1021/acs.inorgchem.1c01028
Cd2.00Cu3.00In3.00Te8.00,527,200,11000,1.14,0.00044,0.203403509,https://doi.org/10.1021/acsaem.9b02004
Sn0.97Mn0.03Te1.00,527,69.92,268639,5.0263,0.001313324,0.137700054,https://doi.org/10.1021/acsami.1c15595
Ag0.98Nb0.02Bi1.00Se2.00,528,-189.2,7853,0.61,0.000281111,0.24332232,10.1021/ja312474n
Ag1.00Bi1.00Se2.00,528,-213.7,3678,0.574,0.000167966,0.154505093,10.1021/ja312474n
Ca1.14Yb3.86Al1.68In0.32Sb6.00,528,187.02,5610,0.9083,0.000196218,0.114062681,https://doi.org/10.1021/acs.inorgchem.0c01944
Cu5.13Sn1.87S6.30Cl0.70,529,96.59,72204,1.55,0.000673636,0.229905607,https://doi.org/10.1021/acs.chemmater.1c03434
Sn1.00Te21.00Cu1.00Sb1.00,529,73.9,196271,3.0559,0.001071877,0.185550251,https://doi.org/10.1021/acsami.1c15614
Pb1.00Te1.00,529,-307.61,17961,1.3,0.00169954,0.713,https://doi.org/10.1021/acsami.1c14518
Nb0.75Ta0.25Co1.00Sn0.90Sb0.10,530,-134.04,105957,4.3454,0.0019037,0.232190583,https://doi.org/10.1021/acsaem.1c02293
Nb0.85Ta0.15Co1.00Sn0.90Sb0.10,530,-130.29,111915,4.696,0.001899811,0.214416523,https://doi.org/10.1021/acsaem.1c02293
Nb0.80Ta0.20Co1.00Sn0.90Sb0.10,530,-131.15,109078,4.49,0.001876177,0.221464074,https://doi.org/10.1021/acsaem.1c02293
Nb0.95Ta0.05Co1.00Sn0.90Sb0.10,530,-119.04,127092,4.9583,0.00180096,0.192507263,https://doi.org/10.1021/acsaem.1c02293
Nb0.90Ta0.10Co1.00Sn0.90Sb0.10,530,-125.77,121135,4.8093,0.001916125,0.211162972,https://doi.org/10.1021/acsaem.1c02293
